Doctor Name,Specialty,Department,Location
Dr. Shabnam  U,Oral Pathologist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Sreejith  K R,Senior Pediatric Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Vinayak  Padmakumar,Pediatric Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Nair Parvathi Unnikrishnan,Aesthetic Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Evana M Roy,General Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Mathew P Varghese,Oral & Maxillofacial Surgeon,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Sooraj  S,Senior Maxillofacial Surgeon,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Benoy  Stanly,"Co-ordinator, Dental Services & …","Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. DHANYA  KRISHNAN,Pediatric Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Oommen Aju Jacob,Senior Maxillofacial Surgeon,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Rajesh  Raveendranath,Neuro Muscular Dentist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Shekhar S,Maxillofacial Surgeon,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Jeomy Zachariah Oommen,Consultant,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Ravi  Aravind,Prosthodontist,"Dental, Clinical, Oral & Maxillofacial Surgery",KIMSHEALTH Trivandrum
Dr. Saji  Firoz,Consultant,Dermatology & Cosmetology,KIMSHEALTH Trivandrum
Dr. Mini P N,Consultant,Dermatology & Cosmetology,KIMSHEALTH Trivandrum
Dr. Asha Zacharia,Consultant,Dermatology & Cosmetology,KIMSHEALTH Trivandrum
Dr. Rema Devi T J,Consultant,Dermatology & Cosmetology,KIMSHEALTH Trivandrum
Dr. Deepa  Binod,Consultant,Developmental Pediatrics,KIMSHEALTH Trivandrum
Dr. Babu  George,Senior Consultant,Developmental Pediatrics,KIMSHEALTH Trivandrum
Dr. K  Shakthesh,Visiting Consultant,ENT,KIMSHEALTH Trivandrum
Dr. Salil Kumar  K,Hon. Sr. Consultant,ENT,KIMSHEALTH Trivandrum
Dr. Vinod  Felix,Consultant,ENT,KIMSHEALTH Trivandrum
Dr. Mohammed Noushad,Senior Consultant,ENT,KIMSHEALTH Trivandrum
Dr. Nithya  R,Pediatric ENT Specialist,ENT,KIMSHEALTH Trivandrum
Dr. M Suresh Kumar,Senior Consultant,ENT,KIMSHEALTH Trivandrum
Dr. Anees Thajudeen,Senior Consultant - Cardiology …,"Cardiology,
                                
                                     Electrophysiology",KIMSHEALTH Trivandrum
Dr. Shameem K U,Consultant & Group Clinical …,Emergency Medicine Department,KIMSHEALTH Trivandrum
Dr. K Suresh  Kumar,Emergency Physician,Emergency Medicine Department,KIMSHEALTH Trivandrum
Dr Riyas  R S,Associate Consultant,Endocrinology & Diabetes,KIMSHEALTH Trivandrum
Dr. Raj Mohan L,Consultant,Endocrinology & Diabetes,KIMSHEALTH Trivandrum
Dr. Thushanth  Thomas,Chief Coordinator & Consultant,Endocrinology & Diabetes,KIMSHEALTH Trivandrum
Dr Akhil  Krishna,Associate Consultant,Endocrinology & Diabetes,KIMSHEALTH Trivandrum
Dr. Midhun  Mohan,Registrar,Family Medicine,KIMSHEALTH Trivandrum
Dr. Vishnu B S,Registrar and Academic coordinator,Family Medicine,KIMSHEALTH Trivandrum
Dr. Lizy  Vincent,Consultant,Family Medicine,KIMSHEALTH Trivandrum
Dr. Zuhara  P M,"Director - Emergency Medicine, …",Family Medicine,KIMSHEALTH Trivandrum
Dr. Sneha Ann Abraham,Consultant,Fertility Clinic,KIMSHEALTH Trivandrum
Dr. Rabeeh  Valiyathodi,Consultant,Fertility Clinic,KIMSHEALTH Trivandrum
Dr. Harish  Kareem,Senior Consultant,Gastroenterology,KIMSHEALTH Trivandrum
Dr. Ajith K Nair,Senior Consultant,Gastroenterology,KIMSHEALTH Trivandrum
Dr Arun  P,Associate Consultant,Gastroenterology,KIMSHEALTH Trivandrum
Dr. Madhu  Sasidharan,Senior Consultant,Gastroenterology,KIMSHEALTH Trivandrum
Dr. Subhalal  M S,Hon. Sr. Consultant,Gastrointestinal Surgery,KIMSHEALTH Trivandrum
Dr. Anandakumar  M,Hon. Sr. Consultant,Gastrointestinal Surgery,KIMSHEALTH Trivandrum
Dr. REJI  J,Specialist,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Akash  Sasidharan,Specialist,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Sanoop K Zachariah,Senior Consultant and Professor,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Jithu  T G,Specialist,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Firoz Khan M H,Senior Consultant,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Nisha  Prasannan,Specialist,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Shafy Ali Khan,Senior Consultant & Coordinator,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Maya Devi T J,Hon. Sr. Consultant,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Najeeb A A,Consultant,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Vijayan K N,Coordinator & Professor Emeritus,General & Minimally Invasive Surgery,KIMSHEALTH Trivandrum
Dr. Ramesh Kumar G,Senior Consultant - Elderly …,Geriatrics and Healthy Living,KIMSHEALTH Trivandrum
Dr. Athul Vyas V,Registrar,Geriatrics and Healthy Living,KIMSHEALTH Trivandrum
Dr. Saifudeen  A,Senior Consultant,Hematology Clinic,KIMSHEALTH Trivandrum
Dr. Ashwin V Nair,Associate Consultant,"Hematology Clinic,
                                
                                     Clinical Hematology and Bone Marrow Transplant",KIMSHEALTH Trivandrum
Dr. Mathew  Thomas,Professor and Senior Consultant,Hematology Clinic,KIMSHEALTH Trivandrum
Dr. Shiraz Ahmad Rather,Consultant & Head of …,"Hepatobiliary, Pancreatic & Liver Transplant Surgery,
                                
                                     Gastrointestinal Surgery",KIMSHEALTH Trivandrum
Dr. Shabeerali T U,Chief Coordinator & Senior …,"Hepatobiliary, Pancreatic & Liver Transplant Surgery",KIMSHEALTH Trivandrum
Dr. Varghese  Yeldho,Consultant,"Hepatobiliary, Pancreatic & Liver Transplant Surgery,
                                
                                     Gastrointestinal Surgery",KIMSHEALTH Trivandrum
Dr. Brinda  Sabu,Consultant,High Risk Pregnancy & Fetal Medicine,KIMSHEALTH Trivandrum
Dr. Asima  Khan,Consultant,High Risk Pregnancy & Fetal Medicine,KIMSHEALTH Trivandrum
Dr. Vidyalekshmy  R,Senior Consultant & Coordinator,High Risk Pregnancy & Fetal Medicine,KIMSHEALTH Trivandrum
Ms. Praseetha G S,Psychologist / Remedial Educator,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Angel  SR,Occupational Therapist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Sheeja Kaithayil Bahuleyan,Sensory Integration Therapist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Aleena J B,Speech Therapist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Devi Priya G,Speech Language Pathologist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Anju  Carmel,Counsellor / Remedial Educator,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Praylyn  Rubysha,Occupational Therapist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Devika  Jain,Occupational Therapist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Supriya G R,Remedial Educator,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Amritha  V,Psychologist / Remedial Educator,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Sufina N Sulfi,Psychologist / Remedial Educator,Holistic Child Development Center,KIMSHEALTH Trivandrum
Dr. Jamila K Warrier,Coordinator & Consultant Psychologist …,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Reshmi S R,Speech Language Pathologist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Aswathy  Chandran,Counsellor/ Behaviour Therapist,Holistic Child Development Center,KIMSHEALTH Trivandrum
Ms. Sneha A Manuel,Psychologist/ Remedial Educator,Holistic Child Development Center,KIMSHEALTH Trivandrum
Dr. Pradeep  S,Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Madhavan  Unni,Senior Consultant & Chief …,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Deepasree  J,Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Harikrishnan  T,Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Binish  Paul,Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Zunimol  P K M,Senior Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Deepthi,Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Manoj  K S,Senior Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Sherin  Nazeer,Consultant,Imaging & Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Rajalakshmi  A,Senior Consultant,Infectious Diseases,KIMSHEALTH Trivandrum
Dr. Muhammed  Niyas,Consultant,Infectious Diseases,KIMSHEALTH Trivandrum
Dr. Wilson  A P,Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Shaji Mohamed Haneefa,Senior Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Nahas  A,Specialist,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Hari  T A,Senior Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Vijayalekshmi  N,Prof. and Hon. Senior …,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Gopinatha  Menon,Co-ordinator & Senior Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. M I Sahadulla,Chairman and Managing Director,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Mohemed  Sanowfer,Consultant & Coordinator - …,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Ajit  Thomas,Senior Consultant in Internal …,Internal Medicine,KIMSHEALTH Trivandrum
Dr. M  Safarulla,Hon. Sr. Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Manoj Pazhampallil Mathews,Senior Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr Ganesh  Viswanathan,Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Prasanna Kumar M,Senior Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Jacob C Pilla,Consultant,Internal Medicine,KIMSHEALTH Trivandrum
Dr. Rachel  Abraham,"Consultant & Dy Coordinator, …",Laboratory Medicine,KIMSHEALTH Trivandrum
Dr. Neetu S Dathan,Consultant Laboratory medicine,Laboratory Medicine,KIMSHEALTH Trivandrum
Dr. Ragitha Binu Krishnan,Consultant,Laryngology,KIMSHEALTH Trivandrum
Dr. Anish Bava Salim,Consultant,"ENT,
                                
                                     Laryngology",KIMSHEALTH Trivandrum
Dr. Roshan  Daniel,Associate Consultant,Medical Genetics,KIMSHEALTH Trivandrum
Dr. Azgar Abdul Rasheed,Associate Consultant,Medical Oncology,KIMSHEALTH Trivandrum
Dr. Arun  V,Associate Consultant,Medical Oncology,KIMSHEALTH Trivandrum
Dr. Jyothi  Prabhakar,Consultant,Neonatology,KIMSHEALTH Trivandrum
Dr. Ajai Kumar Prithvi,Associate Consultant,Neonatology,KIMSHEALTH Trivandrum
Dr. Naveen  Jain,Coordinator and Senior Consultant,Neonatology,KIMSHEALTH Trivandrum
Dr. Femitha  Pournami,Senior Consultant,Neonatology,KIMSHEALTH Trivandrum
Dr. Satish  Balan,Consultant,Nephrology,KIMSHEALTH Trivandrum
Dr. Prasad  Nair,Senior Consultant,Nephrology,KIMSHEALTH Trivandrum
Dr. Vinayak  M,Consultant,Nephrology,KIMSHEALTH Trivandrum
Dr. Praveen  Murlidharan,Medical Superintendent & Senior …,Nephrology,KIMSHEALTH Trivandrum
Dr. Manish Kumar Yadav,Senior Consultant,"Neuro Interventional Radiology,
                                
                                     Imaging & Interventional Radiology",KIMSHEALTH Trivandrum
Dr. DINESH BABU K  B,ASSOCIATE CONSULTANT,Neuro Interventional Radiology,KIMSHEALTH Trivandrum
Dr. Simi M Ismail,Consultant,"Neuro Interventional Radiology,
                                
                                     Imaging & Interventional Radiology",KIMSHEALTH Trivandrum
Dr. Santhosh  Joseph,Senior Consultant & Clinical …,Neuro Interventional Radiology,KIMSHEALTH Trivandrum
Dr. K  Radhakrishnan,Senior Consultant & Head …,"Neurology,
                                
                                     Advanced Comprehensive Epilepsy Centre",KIMSHEALTH Trivandrum
Dr. Krishnasree  K S,Associate Consultant,Neurology,KIMSHEALTH Trivandrum
Dr. Syamlal  S,Group Coordinator & Senior …,Neurology,KIMSHEALTH Trivandrum
Dr. Suresh Chandran  C J,Coordinator & Senior Consultant,Neurology,KIMSHEALTH Trivandrum
Dr. Ashok  V P,Consultant,Neurology,KIMSHEALTH Trivandrum
Dr. JAYAKRISHNAN  C,Senior Consultant,Neurology,KIMSHEALTH Trivandrum
Dr Ajith  R,Sr Consultant and Coordinator,Neurosurgery,KIMSHEALTH Trivandrum
Dr Shobha Sara Mathew,Hon. Consultant,Neurosurgery,KIMSHEALTH Trivandrum
Dr. Arun  P S,Consultant,Neurosurgery,KIMSHEALTH Trivandrum
Dr. Bobby  Iype,Hon. Consultant,Neurosurgery,KIMSHEALTH Trivandrum
Dr Navas  N S,Hon. Consultant,Neurosurgery,KIMSHEALTH Trivandrum
Dr Abu  Madan,Hon. Consultant,Neurosurgery,KIMSHEALTH Trivandrum
Dr Sushant  B,Hon.Consultant,Neurosurgery,KIMSHEALTH Trivandrum
Dr. Arun Raj S T,Consultant,"Cancer Care,
                                
                                     Nuclear Medicine",KIMSHEALTH Trivandrum
Dr. Roshini  Ambat,Senior Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Cinu A Nair,,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Bindu  Purushothaman,Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Geetha  P,Senior Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Valsamma  Chacko,Hon. Sr. Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Vinoo  Balakrishnan,Senior Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. J V Shyja,Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Neeta  Ravindranathan,Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Rafeekha  P,Senior Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Sajith Mohan R,Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Syamala Devi  P K,Hon. Sr. Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Lumiya  Malik,Consultant,Obstetrics & Gynecology,KIMSHEALTH Trivandrum
Dr. Mary  Thomas,Senior Consultant,Ophthalmology,KIMSHEALTH Trivandrum
Dr. Susheela B Nair,Hon. Sr. Consultant,Ophthalmology,KIMSHEALTH Trivandrum
Dr. Ancy R S,Registrar,Ophthalmology,KIMSHEALTH Trivandrum
Dr. Sarath  Ravi,Consultant- Vitreo Retinal Surgeon,Ophthalmology,KIMSHEALTH Trivandrum
Dr. Daisy  Karan,Consultant,Ophthalmology,KIMSHEALTH Trivandrum
Dr. Asgar  Abbas,Senior Consultant,Ophthalmology,KIMSHEALTH Trivandrum
Dr. Manoj  Haridas,Senior Consultant Hand & …,Orthopedics & Trauma,KIMSHEALTH Trivandrum
Dr. Muhammed  Nazeer,Senior Consultant & Group …,Orthopedics & Trauma,KIMSHEALTH Trivandrum
Dr. B Madan Mohan,Consultant,Orthopedics & Trauma,KIMSHEALTH Trivandrum
Dr. Ranjith  Unnikrishnan,Consultant,Orthopedics & Trauma,KIMSHEALTH Trivandrum
Dr. Vinod Krishnan V,Paediatric Orthopaedics Consultant,Orthopedics & Trauma,KIMSHEALTH Trivandrum
Dr. Vineetha G Gopal,Consultant,Pain Medicine,KIMSHEALTH Trivandrum
Dr. Sheeja  Madhavan,Consultant,Pediatric & Adolescent Endocrinology,KIMSHEALTH Trivandrum
Dr. M Zulfikar Ahamed,Senior Consultant,"Cardiology,
                                
                                     Pediatric Cardiology",KIMSHEALTH Trivandrum
Dr. Aswathy  Ravikumar,Associate Consultant,Pediatric Surgery,KIMSHEALTH Trivandrum
Dr. Ram Mohan C V,Senior Consultant,Pediatric Surgery,KIMSHEALTH Trivandrum
Dr. Asok Kumar G M,Senior Consultant,Pediatric Surgery,KIMSHEALTH Trivandrum
Dr. Noorsathar  N S,Hon. Sr. Consultant,Pediatric Surgery,KIMSHEALTH Trivandrum
Dr. Reju Joseph Thomas,Hon. Sr. Consultant,Pediatric Urology,KIMSHEALTH Trivandrum
Dr. Sabarinathan  K,Hon. Sr. Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr. Asok Kumar G,Professor Emeritus and Senior …,Pediatrics,KIMSHEALTH Trivandrum
Dr. Neetu  Gupta,Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr. D Kalpana,Senior Consultant,"Neurology,
                                
                                     Pediatrics,
                                
                                     Pediatric Neurology",KIMSHEALTH Trivandrum
Dr. Prameela  Joji,Consultant Pediatric Critical Care …,Pediatrics,KIMSHEALTH Trivandrum
Dr. P A Mohammed Kunju,Senior Consultant,"Pediatrics,
                                
                                     Pediatric Neurology",KIMSHEALTH Trivandrum
Dr. Sanuja Titus Santosh,Senior Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr. Prijo Philip,Pediatric Nephrologist Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr. Saddiq M H,Paediatric Coordinator and Sr. …,Pediatrics,KIMSHEALTH Trivandrum
Dr. Vijayakumar  B,Senior Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr. P M C  Nair,Specialist,Pediatrics,KIMSHEALTH Trivandrum
Dr. Mani  Varghese,Senior Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr. Gisi  Shibu,Consultant,Pediatrics,KIMSHEALTH Trivandrum
Dr Nitha  J,Consultant,Physical Medicine &  Rehabilitation,KIMSHEALTH Trivandrum
Dr. Fathima Haneena P,Specialist,Physical Medicine &  Rehabilitation,KIMSHEALTH Trivandrum
Dr. Heera Selsa,Senior Registrar,Physical Medicine &  Rehabilitation,KIMSHEALTH Trivandrum
Dr. Hariharan  S,Hon. Sr. Consultant,Physical Medicine &  Rehabilitation,KIMSHEALTH Trivandrum
Dr. Vijayakumar,Visiting Consultant,"Plastic, Reconstructive, Microvascular Surgery",KIMSHEALTH Trivandrum
Dr. Jacob  M M,Hon. Sr. Consultant,"Plastic, Reconstructive, Microvascular Surgery",KIMSHEALTH Trivandrum
Dr. Manesh  Senan,Senior Consultant,"Plastic, Reconstructive, Microvascular Surgery",KIMSHEALTH Trivandrum
Dr. Saffia  P M,Sr. Consultant & Vice …,"Plastic, Reconstructive, Microvascular Surgery",KIMSHEALTH Trivandrum
Dr. Migita M D'cruz,Associate Consultant,Psychiatry & Behavioral Medicine,KIMSHEALTH Trivandrum
Dr. Kumar  K A,Hon. Sr. Consultant,Psychiatry & Behavioral Medicine,KIMSHEALTH Trivandrum
Dr. JITHA  G,Specialist,Psychiatry & Behavioral Medicine,KIMSHEALTH Trivandrum
Dr. Muraleedharan K K,Hon. Consultant,Psychiatry & Behavioral Medicine,KIMSHEALTH Trivandrum
Dr. Susha  John,Consultant,Psychiatry & Behavioral Medicine,KIMSHEALTH Trivandrum
Dr. Ashraf Ali A,Hon. Sr. Consultant,Psychiatry & Behavioral Medicine,KIMSHEALTH Trivandrum
Dr. Aravind  Thampi,Coordinator & Sr. Consultant …,Psychology & Corporate Wellness,KIMSHEALTH Trivandrum
Dr. Aswathy  Thazhakottuvalappil,Consultant,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. Rohith  S,Consultant - Quality and …,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. Vinod Kumar Kesavan,Senior Consultant,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. Sujith Varghese Abraham,Senior Registrar,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. Ameer  K A,"Senior Consultant - Coordinator, …",Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. M  Joshi,Prof Emeritus & Senior …,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. Ajay  Ravi,Consultant - Interventional Pulmonology,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. P  Arjun,Senior Consultant & Group …,Respiratory Medicine,KIMSHEALTH Trivandrum
Dr. Rajesh  S,Senior Consultant,Rheumatology & Clinical Immunology,KIMSHEALTH Trivandrum
Dr. Abitha  Aliyar,Associate Consultant,Rheumatology & Clinical Immunology,KIMSHEALTH Trivandrum
Dr. M Bhuvanesh,Consultant,Rheumatology & Clinical Immunology,KIMSHEALTH Trivandrum
Dr. Narayanan  R,Associate Consultant,Surgical Oncology,KIMSHEALTH Trivandrum
Dr B Jayanand Sunil,"Consultant & Coordinator, Surgical …",Surgical Oncology,KIMSHEALTH Trivandrum
Dr. Sanooja  Pinki,Senior Registrar & Coordinator,Transfusion Medicine / Blood centre,KIMSHEALTH Trivandrum
Dr. Sudin  S R,Consultant,Urology,KIMSHEALTH Trivandrum
